物品名称,英文ID,类别,等级,合成设备,原料需求,消耗时常/秒,合成数量,描述,次要描述,副产物
晶体外壳,Origocrust,AIC Products,2,精炼炉,源矿*1/晶体外壳粉末*1,2,1,源石加工时剥离的外壳部分，可用于其他材料合成。,源石晶体外壳的厚度通常可以作为判断一条矿脉存续时间的重要依据。,
蓝铁块,Ferrium,AIC Products,2,精炼炉,蓝铁矿*1,2,1,由蓝铁矿石精炼得来的金属块，可用于其他材料合成。,在塔卫二为什么会存在与异铁如此近似的金属，这仍是未解之谜。,
紫晶纤维,Amethyst Fiber,AIC Products,2,精炼炉,紫晶矿*1,2,1,由紫晶矿精炼得来的纤维，可用于其他材料合成。,将紫晶加工成纤维后，其拉伸度获得了极大的增强。,
密制晶体,Packed Origocrust,AIC Products,3,精炼炉,致密晶体粉末*1,2,1,致密晶体粉末精炼融合后的高级材料，可用于其他材料合成。,多级加工后，密制晶体足以被称为“宝石”。,
钢块,Steel,AIC Products,3,精炼炉,致密蓝铁粉末*1,2,1,致密蓝铁粉末精炼融合后的高级材料，可用于其他材料合成。,多级加工后，终末地工业生产的钢材已被列为《塔卫二工业金属侵蚀耐受标准》二级标准参考物。,
高晶纤维,Cryston Fiber,AIC Products,3,精炼炉,高晶粉末*1,2,1,高晶粉末精炼融合后的高级材料，可用于其他材料合成。,多级加工后，高晶纤维已经能够应用于多种信号传输场景。,
稳定碳块,Stabilized Carbon,AIC Products,3,精炼炉,致密碳粉末*1,2,1,致密碳粉末精炼融合后的高级材料，可用于其他材料合成。,多级加工后，碳块在碳元素状态上获得了微妙且稳定的平衡。,
致密晶体粉末,Dense Origocrust Powder,AIC Products,3,精炼炉,致密源石粉末*1,2,1,晶体外壳粉末研磨后的细粉，可用于其他材料合成。,在协议技术介入下，经过精细研磨后，致密晶体粉末中的颗粒将通透细腻至几乎不可见的地步。,
碳块,Carbon,AIC Products,2,精炼炉,（任意Plant类别的物品）*1,2,1,植物烧制的碳材料，可用于其他材料合成。,终末地工业在战争时期就已完成了对制碳过程中废气处理的相关技术的优化。,
赤铜块,Cuprium,AIC Products,2,精炼炉,赤铜矿*1+清水*1,2,1,由赤铜矿石精炼得来的金属块，可用于其他材料合成。,经过熔炼后，赤铜将摆脱其柔软、易氧化的特性。,污水*1
赤铜粉末,Cuprium Powder,AIC Products,2,粉碎机,赤铜块*1,2,1,赤铜块粉碎后的粉末，可用于其他材料合成。,在经过粉碎处理后，赤铜二级加工品的质地更加均匀。,
蓝铁粉末,Ferrium Powder,AIC Products,2,粉碎机,蓝铁块*1,2,1,蓝铁块粉碎后的粉末，可用于其他材料合成。,在经过粉碎处理后，蓝铁二级加工品的质地更加均匀。,
紫晶粉末,Amethyst Powder,AIC Products,2,粉碎机,紫晶纤维*1,2,1,紫晶纤维粉碎后的粉末，可用于其他材料合成。,在经过粉碎处理后，紫晶二级加工品的质地更加均匀。,
源石粉末,Originium Powder,AIC Products,2,粉碎机,源矿*1,2,1,稳定的源石粉末，可用于其他材料合成。,终末地利用协议技术对源石粉末进行了特殊的稳定化处理。,
碳粉末,Carbon Powder,AIC Products,2,粉碎机,碳块*1,2,2,碳材料的粉末，可用于其他材料合成。,在经过粉碎处理后，碳拥有了更细腻的质地。,
晶体外壳粉末,Origocrust Powder,AIC Products,2,粉碎机,晶体外壳*1,2,1,晶体外壳的粉末，可用于其他材料合成。,在经过粉碎处理后，晶体外壳二级加工品的质地更加均匀。,
荞花粉末,Buckflower Powder,Usable Items,2,粉碎机,荞花*1,2,2,使用后可以回复干员生命值的战术物品,在经过粉碎处理后，荞花的药性得到了充分释放。,
柑实粉末,Citrome Powder,Usable Items,2,粉碎机,柑实*1,2,2,使用后可以回复干员生命值的战术物品,在经过粉碎处理后，柑实的风味得到了充分展现。,
