名称,英文ID,类别,等级,描述,次要描述
源矿,Originium Ore,Mineral Ore,1,工业生产活动所必需的基础型矿物。,工业生产活动所必需的基础型矿物。
紫晶矿,Amethyst Ore,Mineral Ore,1,内蕴紫色晶体的岩石，可在工业系统中进行加工。,紫晶在精密工业等领域的使用较为广泛，是塔卫二电子工业的基础材料之一。
蓝铁矿,Ferrium Ore,Mineral Ore,1,一种天然存在的蓝色合金，可在工业系统中进行加工。,蓝铁的形成原因众说纷纭，在工业金属尚未出现的时代，它是人们最为依赖的金属。
赤铜矿,Cuprium Ore,Mineral Ore,1,一种红色金属，可在工业系统中进行加工。,武陵地区特有的矿物，是一种天然合金，人们从其中冶炼出的金属材料是该地区工业生产的基础。
清水,Clean Water,Natural Liquid,1,干净的清水，在工业系统中有丰富的使用场景。,它是永远的生命之源。
沉积酸,Precipitation Acid,Natural Liquid,1,沉积酸可溶解部分难以溶解的材料，在工业系统中有丰富的使用场景。,天使残骸在异常的温度和压力条件下转化而成的腐蚀性液体。在天使形成时，构成它们的无机物会被锚点简单粗暴地“捏”在一起，这一过程使诸多本不可能发生的反应成为现实。在天使解体后，这些异常无机物会产生进一步的变化，沉积酸由此而来。
荞花,Buckflower,Plant,1,可在野外采集或在工厂培育出的艳丽花朵，粉碎后可用于药品或其他材料合成。,战争初期，一支宏山侦察队首先发现了这种色彩艳丽的植物，并在紧急状况下将其作为止血药物使用。
柑实,Citrome,Plant,1,可在野外采集或在工厂培育出的果实，粉碎后可用于食品或其他材料合成。,塔卫二的柑橘属植物主要起源于大陆中部地区，传播至文明环带的品种大多具有果实大，果肉韧性高等特点。
酮化灌木,Aketine,Plant,1,可在野外采集或在工厂培育出的植物，内含易燃易爆成分，常用于制造工业爆炸物。,酮化灌木是塔卫二的本土植物，它往往生长于土壤成分较为特殊的环境中。
砂叶,Sandleaf,Plant,1,可在野外采集或在工厂培育出的叶片粗粝的植物，粉碎后可用于精细研磨。,众生长地是“荒地手工业”领域中的翘楚，他们善于使用各种天然材料在艰苦环境中生存。
锦草,Jincao,Plant,1,可在野外采集或在工厂培育出的植物，粉碎后可用于食品或其他材料合成。,锦草又称锦星草，因其春夏之际星星点点长于山阴处而获此名。
芽针,Yazhen,Plant,1,可在野外采集或在工厂培育出的花朵，粉碎后可用于药品或其他材料合成。,芽针是武陵生存能力最强的草本植物，会在盛夏时节开放出极其绚丽的花朵。
