设备名称,唯一英文ID,占地单元格面积,通行速率,总容量,描述
传送带,Transport Belt,1*1,0.5单位/秒,/,可传输固体的传输物流工具。
物流桥,Belt Bridge,1*1,0.5单位/秒,/,可让两条传送带交叉运输互不干扰的物流工具。
分流器,Splitter,1*1,0.5单位/秒,/,可让1条传送带均匀传输到多条（最多3条）分支传送带的物流工具。
汇流器,Converger,1*1,0.5单位/秒,/,可让多条（最多3条）分支传送带汇流传输到1条传送带的物流工具。
物品准入口,Item Control Port,1*1,0,/,可以设置允许通过的材料与最大数量的传送带物流工具。
管道,Pipe,1*1,2单位/秒,4,可以传输液体或气体的传输物流工具。
管道桥,Pipe Bridge,1*1,2单位/秒,4,可让两根管道交叉运输互不干扰的物流工具。
管道分流器,Pipe Splitter,1*1,2单位/秒,4,可让1根管道均匀传输到多根（最多3根）分支管道的物流工具。
管道汇流器,Pipe Converger,1*1,2单位/秒,4,可让多根（最多3根）分支管道汇流传输到1根管道的物流工具。
管道准入口,Pipe Control Port,1*1,/,/,可以设置允许通过的材料与最大数量的管道物流工具。
