设备名称,唯一英文ID,耗电峰值（单位/W）,占地单元格面积,总容量,描述
协议储存箱,Protocol Stash,5,3*3,6个物品格，每格50,拥有多个容纳格的储物设备，由于在通电状态下可将其中物品转移至仓库，因此多用于产线末端。
储液罐,Fluid Tank,0,3*3,500,存储液体的设备。
仓库存货口,Depot Loader,0,3*1,/,可将物品运送至当地仓库的活动端口，只能贴靠仓库存取线放置。
仓库取货口,Depot Unloader,0,3*1,/,可选择物品从当地仓库取出的活动端口，只能贴靠仓库存取线放置。
暗管出口,Conduit Outlet,0,3*3,500,地下暗管的出口，可与暗管入口进行配对连接，传输管道中的货物。
暗管入口,Conduit Inlet,0,3*3,500,地下暗管的入口，可与暗管出口进行配对连接，传输管道中的货物。
仓库存取线基段,Depot Bus Section,0,8*4,/,可以在集成核心区域放置的仓库存取线基段，需要和仓库存取线源桩或其他生效的仓库存取线基段相连，其上可贴靠仓库存货口和仓库取货口。
仓库存取线源桩,Depot Bus Port,0,4*4,/,作为仓库存取线的起始点，可以在集成核心区域自由放置。
多口暗管出口,Conduit Outlet Manifold,0,5*2,500,地下暗管的大型出口，可与多口暗管入口进行配对连接，传输管道中的液体。
多口暗管入口,Conduit Inlet Manifold,0,5*3,500,地下暗管的大型入口，可与多口暗管出口进行配对连接，传输管道中的液体
